protein	cisonly	proposed_0.001	proposed_0.0005	proposed_0.0001	proposed_0.00005	proposed_0.00001	proposed_0.000005	proposed_0.000001
cardio3_SCGB3A2	0.02574216	0.01244572	0.01256679	0.02120892	0.02598919	0.0309422	0.02030403	0.004085072
cardio3_EGFR	0.008516041	0.007584913	0.008736113	0.01094038	0.0009629016	0.005421732	NA	NA
cardio3_IGFBP.7	0.02896139	0.0023005	0.003906457	NA	NA	0.0003909753	0.003405829	0.002726274
cardio3_CD93	0.03572781	0.0131567	0.01137656	0.02606392	0.02841611	NA	NA	0.0008221195
cardio3_IL.18BP	0.06955376	0.07553402	0.08676074	0.0711776	0.07578247	0.06149874	0.07057242	0.0617952
cardio3_COL1A1	NA	NA	0.0009993922	NA	NA	NA	NA	NA
cardio3_PON3	0.1409263	0.03946227	0.04471657	0.01947255	0.01584237	0.02970628	0.004206931	NA
cardio3_CTSZ	0.0138714	0.02017978	0.01853488	0.01415602	0.01402524	0.01895969	0.005283239	0.009691074
cardio3_MMP.3	0.09725423	0.07861369	0.07869538	0.06675171	0.07311324	0.07289476	0.09426846	0.0939187
cardio3_RARRES2	0.01399176	NA	NA	0.003187308	0.0004564852	0.00145865	0.003549964	NA
cardio3_ICAM.2	0.001955493	0.2907982	0.2921724	0.3256935	0.3341517	0.3195917	0.3182332	0.3160913
cardio3_KLK6	0.01337542	0.01908492	NA	0.01890116	0.01619167	0.0007068568	NA	NA
cardio3_PDGF.subunit.A	0.07682202	0.06724747	0.0667007	0.04560657	0.03908874	0.02886798	0.01982916	NA
cardio3_TNF.R1	0.02738611	0.0155299	0.02097131	0.01896304	0.01794332	0.02016437	0.02016437	NA
cardio3_IGFBP.2	0.1170509	0.1144973	0.143174	0.1221482	0.1213281	0.09702563	0.05148397	0.05153357
cardio3_vWF	NA	0.0487882	0.01802962	0.004755836	0.002577643	0.007049262	0.00728796	0.002477942
cardio3_PECAM.1	NA	0.008897473	0.006506814	0.017133	0.01816089	0.00955026	NA	NA
cardio3_MEPE	0.0163765	0.0178197	0.02480078	0.01586512	0.03440322	0.04523272	0.0202563	NA
cardio3_CCL16	0.5386984	NA	0.4827272	0.4686484	0.4932637	0.5215469	0.5354553	0.5319786
inflam_IL8	0.0265368	0.03132741	0.03193643	0.03802557	0.0323194	0.0424276	0.03875257	0.01575158
inflam_VEGFA	0.04339315	0.06214662	0.01133153	0.02427116	0.02120844	0.01360813	0.01362079	0.0004147618
inflam_CD8A	0.1321787	0.1339621	0.1329789	0.1690624	0.1707212	0.1477258	0.1109022	0.109861
inflam_MCP.3	0.04054661	0.03612419	0.03814809	0.03137987	0.04992675	0.02849953	0.02765573	0.01800841
inflam_GDNF	0.02043534	0.02617863	0.01989868	0.02373363	0.01470735	0.01089033	0.008974074	NA
inflam_CDCP1	0.005998553	NA	0.002663832	0.0003174792	0.004879545	0.005279879	0.005667105	NA
inflam_CD244	0.01118881	0.01364787	0.0086618	0.01544386	0.01360607	0.01451036	0.01469001	NA
inflam_IL7	0.02489461	0.04118003	0.02921949	0.01887057	0.02184634	0.01750621	0.01767336	NA
inflam_OPG	0.0001601119	0.002870337	0.003374703	0.001041562	0.001486657	0.004980827	NA	NA
inflam_LAP.TGF.beta.1	0.02688873	0.008752956	0.01033264	0.02037779	0.01576708	0.01838547	0.01345258	0.01335784
inflam_uPA	0.071404	0.07261453	0.06223317	0.08105459	0.0985964	0.1394207	0.1451359	0.1468149
inflam_IL6	NA	NA	0.004068051	0.0007184629	0.002506056	0.002055358	0.001592068	NA
inflam_IL.17C	0.004640163	0.0004300012	NA	0.01430925	0.005161824	0.005721247	0.003063162	NA
inflam_MCP.1	0.02822803	0.0526553	0.05267632	0.0585209	0.03274023	0.004573739	0.00248352	0.004783377
inflam_IL.17A	NA	0.0001600289	0.001823849	NA	NA	NA	NA	NA
inflam_CXCL11	0.06979792	0.02970208	0.03079794	0.03960211	0.05576262	0.05350733	0.0640239	0.05971758
inflam_AXIN1	0.003127665	0.01419147	0.0002442701	0.006349157	0.0002956692	NA	NA	NA
inflam_TRAIL	0.02675438	0.003176225	NA	NA	0.0206408	0.01702668	NA	NA
inflam_IL.20RA	NA	0.000366486	NA	NA	NA	NA	NA	NA
inflam_CXCL9	0.1306747	0.114373	0.1283744	0.1072769	0.1050085	0.06518041	0.06095696	0.02894705
inflam_CST5	0.1803783	0.1192149	0.1378638	0.1756031	0.1845306	0.198046	0.1866746	0.179022
inflam_IL.2RB	0.01410679	0.0152082	0.02070771	NA	0.004690349	NA	NA	NA
inflam_IL.1.alpha	0.005544764	NA	0.001834831	NA	0.0002603924	NA	NA	NA
inflam_OSM	0.01309553	0.01246208	0.01255332	0.01875956	0.02183094	0.02179909	0.01308414	0.02868637
inflam_IL2	0.0097875	0.00149133	NA	0.004463233	0.01037535	0.02157685	NA	NA
inflam_CXCL1	NA	0.0001511192	0.00204299	NA	0.001259756	NA	NA	NA
inflam_TSLP	NA	0.001171245	NA	0.0006218151	0.0003258045	NA	NA	0.0004128676
inflam_CCL4	NA	0.01547337	0.008536107	NA	0.01037648	0.02984674	0.04153814	0.09916597
inflam_CD6	0.1900148	0.2017337	0.1721372	0.1794123	0.1782768	0.2051929	0.2136658	0.222623
inflam_SCF	0.02750278	0.00919647	0.02585335	0.02226751	0.02546966	0.01042497	0.006976423	NA
inflam_IL18	0.0007853292	0.004845855	0.005650691	0.004308922	0.002898623	0.00517787	0.0004804358	NA
inflam_SLAMF1	NA	NA	0.0004587961	NA	0.001553288	NA	NA	NA
inflam_TGF.alpha	0.0001132549	NA	NA	0.005848288	NA	NA	NA	NA
inflam_MCP.4	0.007580338	0.01077625	0.008322956	0.0001101806	0.00777275	0.002888369	0.01043767	0.005791127
inflam_CCL11	0.0019479	NA	NA	0.004533041	0.003523733	NA	NA	0.0004735368
inflam_TNFSF14	0.02942535	0.01310666	0.01840302	0.02658701	0.02836222	0.03297798	0.06085459	0.06550985
inflam_FGF.23	0.01250437	0.01119501	NA	NA	0.0002745232	NA	NA	NA
inflam_IL.10RA	0.001280868	0.002304996	NA	NA	0.0004693014	NA	NA	NA
inflam_FGF.5	0.2468407	0.2123768	0.2098446	0.1854843	0.1705198	0.173979	0.1731326	0.1486705
inflam_MMP.1	0.08752992	0.03091962	0.05901102	0.04000227	0.04172067	0.08923727	0.08395527	0.07664449
inflam_LIF.R	NA	0.02958539	0.01278037	0.03201486	0.02915826	0.03121035	0.02376121	NA
inflam_FGF.21	0.02189508	0.003799691	0.01025459	0.004290822	0.006199307	0.02418213	NA	0.008137594
inflam_CCL19	0.0006215055	NA	0.001532072	NA	0.004773073	NA	NA	0.001130215
inflam_IL.15RA	0.1685379	0.07405195	0.08579725	0.04974441	0.0505869	0.023435	0.01602388	NA
inflam_IL.10RB	0.1587383	0.160816	0.1782118	0.1815973	0.181791	0.07712071	0.02200342	0.02448798
inflam_IL.22.RA1	0.002800117	NA	NA	0.00161451	0.003945944	NA	NA	NA
inflam_IL.18R1	0.3379501	0.3353174	0.3392791	0.3404347	0.3406073	0.3312807	0.3309951	0.3359088
inflam_PD.L1	0.09808027	0.05282721	0.05592191	0.08865996	0.09239958	0.07992268	0.07731238	0.09504916
inflam_Beta.NGF	0.006081584	0.007657475	0.003306538	0.0004313999	0.0005332452	NA	NA	NA
inflam_CXCL5	0.1536584	0.1680135	0.1558204	0.1460431	0.1528504	0.1679809	0.1642683	0.1670553
inflam_TRANCE	NA	0.001452441	0.0001745976	NA	NA	NA	NA	NA
inflam_HGF	0.02965915	0.01118921	0.006412921	0.01687227	0.02157891	0.0001782513	NA	0.002668615
inflam_IL.12B	0.1028116	0.04288398	0.04387648	0.04661446	0.06598037	0.06470326	0.04322121	0.03723121
inflam_IL.24	0.004476511	0.003332573	0.00109953	NA	NA	0.01829111	NA	NA
inflam_IL13	0.00538723	NA	0.009998039	0.00127788	0.003864553	0.00936211	NA	NA
inflam_ARTN	NA	0.000391863	NA	NA	NA	NA	NA	NA
inflam_MMP.10	0.01499995	NA	0.005131662	0.00128795	0.0004803948	NA	0.0001572101	NA
inflam_IL10	0.007115844	0.002794235	0.001539091	0.001182134	0.0002967881	0.0008372155	NA	NA
inflam_TNF	0.004306996	0.0003275607	0.003941749	0.0009367334	0.0001999074	NA	NA	NA
inflam_CCL23	0.240371	0.1576726	0.202702	0.2281488	0.2262021	0.2592403	0.2569964	NA
inflam_CD5	0.001299321	0.002585312	0.001054638	0.01041523	NA	NA	NA	NA
inflam_CCL3	NA	NA	0.0005180439	NA	NA	0.0004458758	0.08925503	0.1125613
inflam_Flt3L	0.002053689	NA	0.0006234701	0.008074873	0.004040704	0.006931062	0.00935317	0.004042549
inflam_CXCL6	0.1815764	0.2091556	0.192598	0.2136003	0.2084213	0.2110457	0.2104834	0.2089432
inflam_CXCL10	0.06950454	0.04217764	0.05241071	0.04735753	0.05463925	0.06033748	0.03083345	0.05359312
inflam_X4E.BP1	0.007180219	0.00355238	0.007578609	0.007551012	0.003881516	0.004833624	0.003592711	0.002344679
inflam_IL.20	NA	NA	NA	0.0001033622	0.0001753624	0.002817678	0.0004342919	NA
inflam_SIRT2	NA	NA	NA	NA	NA	NA	NA	0.001384452
inflam_CCL28	NA	0.001462952	0.000682771	NA	0.0002913738	NA	0.005433466	NA
inflam_DNER	0.0725514	0.08218706	0.0752412	0.05768769	0.04446374	0.04557018	0.0438389	0.03035146
inflam_EN.RAGE	0.0008908532	NA	0.008127154	NA	0.003880534	0.001109803	0.0002845651	0.002306511
inflam_CD40	0.07678569	0.04686786	0.03745183	0.04779545	0.04538149	0.01327154	0.01206311	0.009103024
inflam_IL33	0.02917292	NA	NA	NA	NA	NA	0.0001957753	NA
inflam_IFN.gamma	0.01709883	0.04460782	0.036828	0.006752803	0.003466655	NA	NA	0.005301695
inflam_FGF.19	0.004699278	NA	NA	0.001754762	NA	0.002615198	0.0002505043	NA
inflam_IL4	0.007011156	NA	0.0002502246	NA	0.002924516	NA	NA	0.006070641
inflam_LIF	0.003959476	0.00336676	0.002671203	0.002655417	0.002128807	0.001553633	0.0007180305	NA
inflam_NRTN	0.003367152	NA	0.004027098	NA	NA	NA	0.000383518	0.0002896649
inflam_MCP.2	0.2858375	0.25884	0.2511597	0.2527956	0.2795815	0.2767483	0.2755608	0.2711733
inflam_CASP.8	0.0005473347	NA	0.00470589	NA	NA	NA	NA	NA
inflam_CCL25	0.1807896	0.2588841	0.2550322	0.2548118	0.2564967	0.2605793	0.2614313	0.2620836
inflam_CX3CL1	NA	0.0006808923	NA	0.006157648	NA	0.0008352968	NA	NA
inflam_TNFRSF9	0.05106216	0.05417369	0.06613476	0.05993136	0.06450415	NA	0.06154764	0.04127385
inflam_NT.3	NA	0.001233969	0.001705524	NA	0.001143009	0.003712272	0.003392388	NA
inflam_TWEAK	0.1034406	0.08793242	0.06999496	0.04047842	0.03838928	0.02945978	0.01057076	NA
inflam_CCL20	0.01657518	NA	0.008504929	0.0004416732	0.004541071	NA	0.005500077	NA
inflam_ST1A1	0.0362748	NA	NA	NA	NA	0.007576203	0.002719009	NA
inflam_STAMBP	0.002696982	NA	0.001099995	NA	NA	NA	NA	0.01699526
inflam_IL5	NA	0.0002424085	0.007959798	0.00882207	0.00720836	0.01252097	NA	NA
inflam_ADA	0.1714462	0.1496562	0.1460371	0.1656406	0.158043	0.1628749	0.1875552	0.1922153
inflam_TNFB	0.1427527	0.02586671	0.04696532	0.09197	0.09133501	0.1157848	0.1174662	0.1139367
inflam_CSF.1	0.03042407	NA	0.04291393	NA	0.03921528	0.03396941	NA	0.02733841
oncol_CD22	NA	NA	NA	NA	NA	NA	NA	NA
oncol_INPP1	0.01868773	0.02166695	0.02222419	0.01940325	0.01852992	0.0388726	0.002728418	NA
oncol_ALPP	0.2583114	0.08969208	0.1123504	0.1263343	0.1435562	0.05276769	0.07782279	NA
oncol_CGB3	0.2146175	0.174057	0.1445385	0.1981033	0.2330861	0.2133338	0.2140647	0.2066663
oncol_TBL1X	0.007501659	0.02078159	0.01403489	0.01062068	0.0001186147	NA	0.0002810471	NA
oncol_NAMPT	0.0005367788	NA	NA	0.00527069	0.001881122	0.0001398652	0.0003708943	0.001056441
oncol_IL17F	0.005902582	0.001460359	NA	NA	0.002791187	NA	NA	NA
oncol_VMO1	0.3984372	0.3695712	0.3774253	0.3874839	0.3856811	0.3903113	0.3916891	0.3908311
oncol_TPMT	0.05185075	0.02446506	0.03426924	0.06343185	0.04499657	0.04528684	0.06691531	NA
oncol_IFNGR2	0.4773994	0.4764532	0.4719225	0.4655063	0.457949	0.4704564	0.4724046	0.4746005
oncol_KLK4	0.05473244	NA	0.04945381	NA	0.03920149	0.0666287	0.07124635	0.05402319
oncol_ERP44	0.0458083	0.04679646	0.04111933	0.02951075	0.02090107	0.003978751	0.00289866	0.0008800526
oncol_CBLN4	0.1201999	0.03226794	0.02580991	0.02005422	NA	0.0002944441	NA	NA
oncol_ACAA1	0.004539273	0.0008030704	0.001347628	0.0254547	NA	0.00365213	0.001202295	0.001997676
oncol_NT5C3A	0.01777753	0.003030948	0.006056135	0.01554653	0.0185789	0.008267754	NA	NA
oncol_GAMT	0.03403481	0.002002695	0.03210186	NA	0.05617186	0.003462253	0.01098752	NA
oncol_HEXA	0.1351658	0.1270771	0.1213272	NA	0.1116362	0.09842093	0.09529094	0.05218132
oncol_S100A16	0.03292359	0.01855105	0.01806888	0.007237424	0.01397822	0.008869656	0.01473047	NA
oncol_PSPN	0.0006843078	0.003122847	NA	NA	NA	NA	NA	NA
oncol_DCTPP1	0.0317089	0.01206987	0.008412236	0.009009577	0.005183369	NA	0.003153595	NA
oncol_MANSC1	0.08126017	0.03732657	0.03531654	0.02846307	0.01848061	0.01508963	0.03136609	0.01113449
oncol_GFER	0.02036867	0.02042306	0.02040046	NA	NA	0.003281811	0.003287417	NA
oncol_RP2	NA	NA	0.0003828363	0.001598352	0.0009569329	0.0001103729	0.0001189737	NA
oncol_JCHAIN	0.01204596	0.01312292	NA	0.005834105	0.003476956	0.007738638	0.005781316	NA
oncol_RAB6A	0.001639862	0.0008218154	0.0001757462	NA	NA	0.001722491	0.002236558	NA
oncol_C1QA	0.0270302	0.005884251	0.009290975	0.007069666	0.001588013	0.008773196	0.008045253	NA
oncol_AKR1B1	NA	NA	NA	NA	NA	NA	NA	NA
oncol_SCG2	0.006035094	NA	0.008143592	NA	NA	NA	NA	NA
oncol_RFNG	0.03498566	0.05730576	0.04650841	0.04835146	0.04103988	0.03799901	0.04672949	NA
oncol_MLN	0.09527148	0.1329639	0.1434055	0.1217132	0.1579463	0.1520358	0.1493406	0.1141222
oncol_TNFAIP8	0.0002467858	0.003419081	0.001334684	0.001744043	NA	NA	NA	NA
oncol_AIF1	NA	0.002209964	0.001349263	0.003572314	0.002215945	0.0002503643	NA	NA
oncol_ARHGAP25	0.001978689	0.003658278	0.004901653	0.001146384	NA	0.001154206	0.0002983357	NA
oncol_IL1B	0.000208852	0.0745243	NA	0.001717479	0.0001646544	0.0001197875	NA	0.00155432
oncol_CCT5	0.01103012	0.01212617	0.02365796	0.008881678	0.006157008	0.0005549962	0.003597098	NA
oncol_CASP2	0.004314331	0.001121719	NA	NA	0.003979562	0.0004950365	NA	NA
oncol_ELOA	0.0003859678	0.0003055759	0.001290527	NA	0.002841505	0.0001201687	0.00456764	NA
oncol_NCS1	0.02160621	NA	0.003491134	NA	NA	NA	NA	NA
oncol_LSP1	NA	0.002697987	NA	NA	NA	NA	NA	NA
oncol_AFP	NA	0.0005817271	0.0002474173	NA	NA	0.0001859076	NA	NA
oncol_GOPC	0.00467924	0.0001846756	0.01227092	NA	0.01000725	NA	NA	NA
oncol_USO1	0.00121085	0.005171388	0.004576181	NA	NA	NA	0.0002475369	0.002313224
oncol_CNPY2	NA	0.004366367	NA	NA	NA	NA	NA	NA
oncol_SEPT9	0.00252646	0.001091759	0.001658451	NA	NA	0.005345588	NA	0.0004208008
oncol_AIMP1	0.0006783039	0.02370116	0.02084074	0.0015558	NA	0.001226145	NA	NA
oncol_SCGN	0.002331402	NA	0.0003464101	NA	NA	0.008319884	NA	NA
oncol_CDC27	0.0001906154	0.003012946	0.007825289	0.003921786	0.0009774423	0.002246857	0.008508192	NA
oncol_TXNDC15	0.2175396	0.2148042	0.2173242	0.2086666	0.2078913	0.208434	0.2127054	0.2117333
oncol_ICAM.5	0.3499794	0.3854902	0.3935962	0.3965156	0.3592525	0.374034	0.375736	0.362804
oncol_FUS	0.0003672901	0.002328539	0.001766325	0.003261792	0.00362437	NA	0.0003880079	NA
oncol_PTP4A1	0.005358122	NA	NA	NA	NA	NA	NA	NA
oncol_FOXO3	0.0008094102	0.009377768	0.009217391	0.000219875	NA	NA	0.0001651559	0.0006846191
oncol_VWA1	0.0006525032	0.0005048941	0.001490825	NA	NA	0.006855377	NA	NA
oncol_FLT3	NA	0.004754195	0.001874111	0.0005560956	NA	NA	0.001549228	NA
oncol_COL9A1	0.002277726	0.00174479	NA	0.003271856	0.003294755	0.004409414	NA	NA
oncol_BRK1	0.01029763	0.005027687	0.024235	0.006604375	0.01889914	0.007987503	0.008149149	0.001769065
oncol_NELL1	0.006833318	0.004383983	0.0001806657	0.003084667	0.0005399481	0.001047308	0.004091402	NA
oncol_SFTPA1	0.05079537	0.01932812	0.02955775	0.02634382	0.0244337	0.003216106	0.001053681	0.01663661
oncol_VPS37A	0.01528692	0.01682422	0.01343637	0.01443551	0.01814236	NA	NA	NA
oncol_DRG2	0.008700793	0.0183598	0.02216522	0.01568214	0.01101831	0.002090433	0.0002192212	0.0005223889
oncol_HMBS	0.01500588	0.01635245	0.01964238	0.01445108	0.01091791	0.01443106	0.01064631	0.006020917
oncol_CLIP2	0.0004328923	0.000524412	0.01049946	0.007940228	0.008758861	NA	NA	NA
oncol_CXCL14	0.1048075	0.1232285	0.121106	0.1104147	0.1008567	0.07632475	0.06604999	0.03241001
oncol_HSPB6	0.01573087	NA	0.001094633	NA	NA	0.0002748262	0.002032898	0.001326957
oncol_ATP6V1D	0.005493384	NA	NA	NA	NA	NA	0.00727809	NA
oncol_LAP3	0.007351894	0.01711591	0.01000684	0.01070546	0.006332885	0.00534804	0.005053574	NA
oncol_LACTB2	0.001243549	NA	NA	NA	0.0001113873	NA	NA	NA
oncol_HBQ1	0.06461814	0.0347932	0.03692824	0.02666416	0.03988261	0.04240936	0.06213592	NA
oncol_SCLY	0.05156573	0.009871099	0.005657583	0.0003584665	0.000125504	0.0006392711	0.0006392711	0.0004549598
oncol_MYO9B	NA	NA	0.005740639	0.005689645	0.004960528	0.003194487	0.003274023	NA
oncol_CD300E	0.06787811	0.07389987	0.03349195	0.02788681	NA	NA	NA	NA
oncol_SPINK4	0.3381879	0.3001842	0.3123498	0.3172395	0.3172395	0.3218996	0.322356	0.3253079
oncol_YTHDF3	0.002623294	0.006529874	0.01268733	NA	0.004876214	0.005944724	0.006865807	NA
oncol_CDHR2	0.0005221582	0.0006700797	0.0008511429	0.01575894	0.01277633	NA	NA	NA
oncol_CPVL	0.3687564	0.2900219	0.2996762	0.3367576	0.3317148	0.3597902	0.362154	0.373565
oncol_ICAM4	0.0297704	0.1295562	0.1121579	0.1092653	0.1014636	0.0977389	0.09394889	0.09888729
oncol_PSMD9	0.006490822	NA	NA	NA	NA	NA	0.0002238521	0.0002049171
oncol_ACTN4	0.001109097	NA	NA	NA	0.002043474	0.0007164356	0.001260408	NA
oncol_VPS53	NA	0.02056159	0.02520593	0.02654731	NA	NA	0.00101933	NA
oncol_CALCOCO1	0.009047748	0.003345701	0.002250886	0.003738749	0.01221106	0.009356094	0.006279223	NA
oncol_UBAC1	0.01993554	NA	NA	NA	0.009270994	NA	NA	NA
oncol_GGA1	0.005960723	0.0009534225	0.00145125	NA	NA	0.009769123	NA	NA
oncol_PTPRM	0.01676557	0.3353708	0.3602105	0.3670699	0.3576447	0.3527345	0.3586347	0.3607464
oncol_GALNT7	0.002000009	0.002608671	0.005242027	NA	0.0009656458	NA	NA	NA
oncol_FLT1	NA	0.000772325	0.002433693	0.003089216	NA	NA	NA	NA
oncol_VAT1	0.00424586	0.003269701	NA	0.0006119032	0.003245204	0.00168789	0.0027696	0.02385852
oncol_TPT1	0.001150341	0.001852625	0.004926511	0.01631142	NA	NA	NA	NA
oncol_L1CAM	0.001004929	0.04641771	0.05858801	0.05014221	0.06644299	0.04484265	0.04489961	0.06141019
oncol_GPA33	NA	0.001299938	0.0001522928	NA	NA	NA	NA	NA
oncol_HLA.E	0.06202928	0.01882487	0.05322859	0.04705001	0.03756769	0.02757036	0.02510624	0.009553714
oncol_PCDH1	0.02592354	NA	NA	NA	0.00834534	NA	NA	0.002121761
oncol_NPY	0.006166527	0.00112185	0.0006820946	0.0005052546	0.0002399497	0.004380446	0.002949283	NA
neurol_NMNAT1	0.01584708	NA	NA	NA	NA	NA	NA	NA
neurol_NRP2	0.003013706	0.01106016	0.00846204	0.0009502758	0.002399464	0.0006514458	0.002239428	0.002564973
neurol_MAPT	0.001383594	NA	NA	NA	0.005036969	NA	NA	NA
neurol_CADM3	0.01834552	0.01943947	0.005336082	0.04219904	0.02931754	0.03482933	0.02973966	0.03639157
neurol_GDNF	0.02532917	0.03492323	0.03189018	0.02299063	0.01897576	0.0181505	0.01843036	0.01281979
neurol_UNC5C	0.008162422	NA	0.002685962	0.00404648	0.005677362	0.005300805	NA	NA
neurol_VWC2	0.1137153	0.08553325	NA	0.07504282	0.08233175	0.1030583	0.1007624	0.08748238
neurol_Siglec.9	0.2950948	NA	0.3747671	NA	0.431358	0.4621452	0.4614213	0.4892231
neurol_CLM.6	0.4371532	NA	0.3813133	NA	0.3772831	0.3956649	0.4031721	0.3909518
neurol_EZR	0.001802604	NA	NA	NA	NA	0.008642574	0.00552252	0.0006940088
neurol_SMOC2	0.04072553	0.0101094	0.02720021	0.01597408	0.01740017	NA	NA	NA
neurol_NBL1	0.0002504319	0.01256781	0.005458301	0.002725167	0.004860472	NA	NA	NA
neurol_EFNA4	NA	0.002699145	0.0005043206	0.0009590201	0.0007787045	NA	NA	0.005051996
neurol_SCARB2	0.006743295	NA	NA	NA	NA	0.003887889	0.007288546	NA
neurol_NCAN	NA	0.005730602	0.00157761	0.001221297	0.01258984	0.009457152	NA	NA
neurol_PRTG	0.2074733	0.05209576	0.03438339	0.05290681	0.03936854	0.008719968	0.003107034	NA
neurol_ROBO2	0.05857131	0.02354952	0.003079701	0.03503033	NA	0.03466971	NA	NA
neurol_CRTAM	0.1219159	0.05164487	0.07999654	0.05814769	0.07105037	0.04767562	0.02653839	0.02337497
neurol_RGMA	0.01047385	0.001317558	0.001600554	NA	NA	NA	NA	NA
neurol_PLXNB3	0.009916938	NA	0.002954353	NA	NA	NA	NA	NA
neurol_CPA2	0.0632046	0.01829926	0.002391345	0.01762505	0.002719905	NA	NA	0.0002241874
neurol_CD38	0.1014047	0.05585704	0.02508133	0.09730254	0.09628855	0.008550916	0.004356005	0.001967489
neurol_SMPD1	0.07461536	0.04471453	0.06939166	0.05395967	0.0507716	0.06744149	0.05869202	0.06252891
neurol_MSR1	0.006871304	NA	NA	NA	NA	0.001737724	0.001595393	NA
neurol_Alpha.2.MRAP	0.01636363	0.1402643	0.1740751	0.2404075	0.2495916	0.248216	0.2483467	0.2593887
neurol_sFRP.3	0.2635047	0.2508992	0.2659169	0.2448428	0.2162158	0.1937884	0.1073741	0.0632219
neurol_EPHB6	0.06896088	0.06467625	0.07160448	0.05195741	0.04896173	0.02747658	0.02749899	0.0003822003
neurol_RGMB	0.007037513	NA	0.001162053	0.003306691	0.0004686566	NA	NA	NA
neurol_SIGLEC1	0.03467472	0.01222606	0.01179309	0.01159724	0.0118862	0.05301715	0.04947427	0.06220127
neurol_CNTN5	0.1164455	0.0636408	0.07484827	0.07859377	0.09795747	0.0942706	0.09717491	0.1038521
neurol_ADAM.22	0.1775242	0.1312808	0.1419052	0.1542626	0.1473384	0.1352963	0.1427945	0.1281469
neurol_CLEC1B	0.02517751	0.02674889	0.02315549	0.01522919	0.01993451	0.009322101	0.003912232	NA
neurol_ADAM.23	0.1988354	0.01038302	0.01521694	0.09920512	0.1083995	0.1009587	0.09730462	0.08455843
neurol_MATN3	0.189499	0.1954384	0.1908921	0.1819474	0.178811	0.1891511	0.1845948	0.1681076
neurol_RSPO1	0.2137053	0.1466751	0.185573	0.1321645	0.130024	0.126444	0.09523282	0.06406179
neurol_HAGH	0.001504295	0.0004159556	0.001517784	NA	NA	0.002504829	0.001088366	0.002697707
neurol_LXN	0.0007550965	0.002301775	NA	0.001565197	NA	0.0002392226	NA	NA
neurol_gal.8	0.1269077	0.1452391	0.1451271	0.1492983	0.1524841	0.1207723	0.1156839	0.1223352
neurol_BCAN	0.01129454	0.002927584	0.0004784642	0.0005200714	NA	NA	NA	NA
neurol_LAYN	0.1420896	0.02653315	0.0124627	0.0726695	0.05571179	0.03808285	NA	NA
neurol_NEP	0.02305269	0.1534173	0.1590712	0.191567	0.1896169	0.1812526	0.1800238	0.1869143
neurol_GDF.8	NA	0.001580045	0.001633764	0.0006822581	0.0005949172	NA	0.0001584877	0.002349912
neurol_THY.1	0.02823261	0.001694971	0.0001477428	NA	0.000201618	NA	NA	NA
neurol_WFIKKN1	0.01737031	0.0001091551	NA	NA	0.00111681	0.002577747	NA	NA
neurol_TMPRSS5	0.2260888	0.2131574	0.2136052	0.1919746	0.1766211	0.1977845	0.1987863	0.2130023
neurol_CDH3	0.04951027	0.04839108	0.07441991	0.07131086	0.06032151	0.04346304	NA	NA
neurol_GFR.alpha.1	0.06655165	NA	0.000338923	0.0004242693	NA	NA	NA	NA
neurol_GM.CSF.R.alpha	0.569052	0.01163401	0.0001525616	0.004642536	0.01007128	0.0006048893	NA	0.0005791343
neurol_Beta.NGF	0.005274541	NA	NA	NA	NA	NA	NA	NA
neurol_SCARA5	0.008446139	0.002041094	0.001212488	0.0003380632	0.001651658	0.001081069	0.004628091	0.01004907
neurol_CD200	0.06580861	0.04134704	0.07847692	0.04945103	0.06964608	0.01246958	0.01306918	0.006327199
neurol_NTRK2	0.002565791	0.001762589	0.01024423	0.00430788	0.006104768	0.001952012	NA	0.004109633
neurol_GZMA	0.02150524	0.0004099808	0.0001281996	0.003549907	0.00104808	NA	0.002206142	0.0009427802
neurol_G.CSF	0.02071561	0.04966989	0.04075873	0.03469742	0.008773569	0.01753479	0.01140746	NA
neurol_DRAXIN	0.0818571	0.003961283	0.007308402	0.04212269	0.03577178	0.01221129	NA	NA
neurol_SCARF2	0.07674915	0.07554739	0.03829636	0.08591165	0.104174	0.05882819	0.04062238	0.0285592
neurol_GDNFR.alpha.3	NA	0.0006378232	NA	NA	NA	0.0004371578	0.00305241	NA
neurol_PVR	0.3555913	0.2854831	0.311658	0.3216307	0.3169285	0.3190028	0.3098016	0.3150497
neurol_TNFRSF12A	0.0001999026	NA	NA	0.008307938	0.02264365	0.0005561251	NA	NA
neurol_SKR3	0.003859728	NA	0.0001326703	NA	0.0008047653	NA	0.004955616	NA
neurol_FLRT2	0.05630103	0.06067622	0.05914938	0.01278977	NA	0.03371301	0.03283543	0.03871467
neurol_CPM	0.2469937	0.224877	0.2167545	0.2373997	0.2389714	0.209029	NA	NA
neurol_CLEC10A	0.1642335	0.07488794	0.07795936	0.07796654	0.08241751	0.08582285	0.06819517	0.08112044
neurol_GCP5	0.373652	0.3354693	0.3127309	0.3234641	0.3190167	0.3313675	0.3130014	0.3063035
neurol_BMP.4	0.0004998896	NA	0.01005407	0.005873917	NA	NA	NA	0.0009213356
neurol_FcRL2	0.1221359	0.1238897	0.1237725	0.09028609	0.1012349	0.1115672	0.1091316	0.09751708
neurol_MDGA1	0.555517	0.534455	0.5370957	0.5436493	0.540268	0.5473158	0.546767	0.5500678
